, AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
2019-03-25,112.68396778143331,57.489459515776495,52.93786704932145,61.35389019959563,91.69962192795866,86.53390518960708,49.59107373858192,74.05092116435885,47.38383424691059,79.94215027198187,70.64038611740435,149.79378821070594,47.40741548982473,71.26350228430327,66.60291553464084,71.46014515755091,70.57434701953532,53.03092641658985,45.09959822559508,60.39678552069705,54.14830102082409,70.63131903732686,69.00517748058405,75.44809297081027,60.14677713129382,52.681902818296685,83.88117928200019,52.39707339229538,64.45224465328717,57.295651110793344,58.73087395922617,51.945666528122146,59.36285725618527,86.56173146558697,80.13385891099759,53.34096290158363,56.35723210949755,93.01674468704579,60.51083610133486,35.82761271501735,54.12662446487601,50.13245137667943,72.48329872674536,59.119095120587595,89.67385741719428,69.26528025857449,62.71408641553196,225.96207268071257,49.117374226494164,83.21243363307146,73.16624070160482,44.837149399954214,79.28666668360859
2019-04-01,118.58846420916784,52.64669712653028,54.20823868709258,64.12996257687236,93.18886541945143,80.36278039822172,61.476131999546446,81.22776954911782,56.245036185248125,80.53145530031892,75.70336962824697,144.63423492983117,50.326394482995035,77.67841415676527,55.97758784516783,58.880306322338065,68.588859026179,58.43487599717078,42.87106924799189,65.88732789560196,48.37399788758799,60.53191464186822,73.72029323751246,74.76379750849252,52.1284188650403,49.40024391968834,79.61756716390826,53.41914436285297,68.82824914368054,54.77435084929492,53.058573391252835,49.49127426113356,61.64336964295326,90.87456366249306,76.62469002340777,46.30166850483594,51.829841522967904,84.71262025026843,57.25867664100669,53.96105548819089,54.18572899032879,52.122054922685635,72.48806065451365,57.41718269148878,88.04653498565644,79.18236639613423,63.240299780916985,154.23629022132596,60.45201410504476,84.02274121090763,57.87574203337187,42.849494619170805,95.89994604907544
2019-04-08,116.18471657507014,49.88246537006016,49.90280827578242,62.18813733034089,92.58790873788568,78.62822381337924,55.09840354912871,80.466412945397,53.08938347497531,81.9756946440987,69.52026861964735,147.34245154769704,48.05045066512082,68.5939588720437,58.87878815945602,49.344484066740605,66.48062328068673,44.03008527859316,51.904111222594295,73.93066782069272,50.45343303967837,78.3727992438706,62.95840364447613,65.54168563203422,58.27606225309204,47.4597903255976,64.37414879304349,55.61881239633579,61.09233957455755,56.905583441527675,55.90753930857495,55.128245906336524,60.31621810496782,93.18911582480062,81.53872794368976,46.92287234087463,52.41504389491032,79.96076719864418,56.411541986142744,59.00737536779236,59.2200680678234,55.61524398108542,62.57276463732445,62.861934900396435,86.3254587486845,66.25335801897563,63.05811122660881,64.94267235894263,72.91732993429748,89.56093241352664,60.05675375660101,51.56419010067274,62.10839150894976
2019-04-15,113.29128568925853,48.40600591424799,45.206251077905115,59.939883455386536,88.83650314880605,72.57722945490332,48.463363548114806,86.8387485221822,46.25302089394044,78.28311020636708,69.01478130182039,166.06748319780402,49.15404799420046,68.50920205401262,62.762417111010585,43.91148016364593,67.29859262966139,43.06117245425155,53.82139615709446,65.54395862778283,47.65425413711134,57.47300433817153,56.118323875042634,63.90638090172066,51.22379636833378,49.784643627872576,73.26738828618413,58.0884756944197,72.34860869491115,57.25844905215305,54.207679060196234,53.48907408774774,62.95126731268396,92.24574218625827,81.3990874412541,46.04881753280823,51.78264927099154,76.22486438320084,56.77954122370105,47.60206412525327,57.555782220627094,55.251540795396934,70.36848191310396,58.76878304350511,92.27808076710302,73.08550242860218,60.3662868506957,198.11018150019834,62.301259625867935,78.71186421033553,61.731138047009274,50.32003105583636,74.87110038079233
2019-04-22,141.22454010051862,41.35317431552205,51.03604744305787,62.055982759980665,84.45981563674788,74.9005525740204,43.67684419523465,74.7686784219012,48.336487209051086,83.29890226574389,68.69929820437905,171.35059713832243,48.80757232549073,66.71914527295667,59.10476008261192,43.605767451573286,68.90309221860502,41.698289299068016,52.40779130185586,57.5984051555571,54.110348681189606,55.901525266544915,57.89053263085902,60.32364634777837,49.95659302628799,52.650982412906394,57.17080627285824,53.738100044994106,59.251380667486615,51.449396329683005,72.7636108013731,61.9327588060739,63.188633339159786,88.326063906151,84.2431160108885,47.37617367075175,50.5084852366664,71.88410184501264,57.04700441143125,63.85250085390861,40.48726695414043,48.77697415506754,71.60836181599855,57.4174458948142,86.12462155310598,73.90143911499767,55.88744183892271,216.40078858655164,73.36780347197228,80.52553961533286,63.58182290841651,42.95546236492082,71.62187406324162
2019-04-29,138.4539853636072,51.20003453784589,49.941291405927,65.3080495781861,85.02216889005362,77.02271346907283,46.92177025422588,76.26105289102819,42.819671254679406,83.62772499521942,65.29070599921582,167.83044854622813,47.717870215311244,64.8925550877503,57.79718596378072,46.3483245766568,69.57048090005976,39.53230237006909,46.004537162173825,65.15884740564441,47.97583374157181,71.98778159671994,57.93532097177192,66.192570841162,50.47283417435619,51.79263311077788,76.82434004063447,50.707354751291675,61.30508780598122,56.267106563420874,51.01548765994031,53.94737749411334,56.152490696565145,94.3292692018809,80.74636014808412,44.72361964378181,45.436513486674926,70.40528444580265,56.573827431694156,41.90521414987447,54.62789062035738,46.85513155454816,76.75458184707753,59.893394293186006,82.93691138652024,72.18842684163882,56.34615574501354,159.62274775373493,71.59469393881436,83.10817819920909,56.45419964654227,47.58250103291735,67.33635032649951
2019-05-06,106.17819621524939,51.6641023119211,58.87559004936583,70.87453502502461,90.37626086684612,79.82723181389058,45.77298288618839,83.5275252241126,61.51318480153364,85.61092888265718,73.60395997217998,187.85183758563565,52.87368099469565,77.34337645320645,58.395946724801505,48.69060542871966,62.85694404018911,46.31470056133025,48.70173860323685,63.14892369149555,49.742839641903274,52.001456066266876,60.07846096447818,66.27288746241096,53.71473557791085,55.78904092454992,79.09574446106484,58.59865093542317,55.7503074604358,57.320326930772765,63.41143830789363,52.44466187167052,63.880023303293356,91.56744449921518,79.23158091354618,48.84616735348871,55.459793442730536,78.26633891437541,58.9016721603735,48.83565799452635,45.98654938045215,49.71850099908139,74.25303336138211,63.344276403462686,86.29198816367692,84.12735131639543,61.48408998246911,235.05627811002643,70.41211227389361,84.4367011424693,52.84391055402496,51.278761154582035,68.02041019095397
2019-05-13,124.89191766249206,53.56186018478082,55.48308555362761,71.12312701724518,90.15326162824879,89.6559563219048,51.10502332982851,81.17009429997836,45.74677902588732,87.1201491968053,72.31893286608283,168.89182161907743,54.53809342976948,66.70660289829381,60.96335126499471,52.492198695605936,70.27916760361254,51.48734866665994,54.96069511608569,63.4716557551093,49.817869612176075,48.19017231225935,61.98278675716787,61.6514579564232,53.8021596412131,56.1148249738781,75.20069023784737,55.39056890346676,68.51172597805612,65.68016120280195,51.30186574801512,53.678423673027204,70.98496549533051,89.80379755576688,77.67293027321716,48.68011080809409,54.512136622706045,76.25219306910948,62.29998457982432,54.9792395254887,65.78965131586725,51.46426028300145,70.31433844990828,62.96491178301445,77.72108789943833,87.55547232386701,65.18473456468787,229.28741512925123,56.093882406318635,86.65982169665786,55.09694997939705,50.68629079917775,76.65735454208512
2019-05-20,108.28877419698256,53.08158260711755,62.10034183569134,73.38024256890026,91.41183599546743,87.19724660032162,56.95276155663024,81.03743088804572,50.49840431969262,87.2581365658403,73.81552096800684,180.40294407554927,54.55793963128208,76.73894087306206,63.86384563498289,49.73835280721146,79.7017432257491,53.011340186225965,57.94519464860208,67.68712007374512,54.47478706422156,65.25537811045892,61.63373761455869,71.11796803431055,60.585375805365274,57.28377671469677,67.66297773954206,57.636979009218976,65.54967629102286,66.28072396320965,54.71646019907428,53.94609727074508,73.83821627093636,89.54019161684946,82.5154262846032,51.9941402381922,59.39939186175907,74.67697521699706,63.94921800977811,45.199391206722616,63.174654313795536,52.08178620597709,83.2074040545572,65.91549988578886,92.27078693735703,84.89891914042042,65.75234199050371,153.5890227864243,67.69795442748644,86.1468139008662,61.15461210207639,59.67716083662329,78.92992838517394
2019-05-27,145.08166323818776,55.538533387348444,61.21212157950659,74.38320767139031,89.96009682486591,84.77257840258676,46.80282192126306,91.7829305096342,35.53923051044739,86.00824378990872,79.15020290589146,187.69438553285053,53.8354430291277,84.68039364905286,61.593892266474526,54.43234616917779,79.38080185018477,46.799272478477505,58.579826850199815,65.12439036489243,52.61705813024997,69.36071187579743,60.52582943277523,72.22493649324059,61.258635511545315,56.97224154071386,75.93432040954832,58.08263829475673,68.11760279797447,61.616573960732055,54.960426495660755,51.19822140259429,68.68455032949414,88.34232093627188,80.69676117730776,51.714669064386364,62.54524107569907,75.33334916332034,61.11022852632633,37.314201867927146,49.15644165082006,49.446691951699925,72.26129722305289,67.01443530082778,93.19198998468848,83.30935534292156,64.75580146647366,172.85065819044445,48.676946083067534,82.99157475803835,61.44440280577375,48.34269116343617,63.352931652294004
2019-06-03,116.17149384334381,49.28375115275379,57.34376809712267,75.36826506045605,90.348898830014,83.16129850129089,47.53793392477126,76.28999803689732,42.76302877381287,84.64899528978569,77.95136516228553,160.2240432379185,58.45750587858826,76.25908326941527,59.20469695234045,51.601139102164424,74.05337123072898,49.43649721105169,54.00683918281926,60.026958387361546,50.14297979485467,70.26872772854378,56.92821851104129,68.11517812246619,61.10674098730581,54.49719197802976,72.17541812321066,54.26552224405345,73.50809764381138,63.417898555815704,54.87314394681755,52.42388491807401,71.76350065054054,91.9783855482837,76.60620213067314,53.20097130496091,61.58801102633364,67.41207494512605,59.373166241003446,49.5961564866734,47.95599369889294,51.43973979943399,77.05183072123316,63.04021086982765,90.40072602956522,75.10987803757742,61.42408917966401,122.16982675223731,69.85651662771377,76.98909249118742,56.214483147800266,58.59667208792954,78.17239830064993
2019-06-10,127.54764800450535,56.448589515781926,57.82235580385487,74.35960480912206,91.40075169706016,82.18793002199406,57.44677290371258,81.8815387433386,42.86084070612039,89.74453791608713,76.62747603165974,168.76837344395335,56.84143065678908,86.95799463615246,61.50850244834664,57.32467973213281,79.6773964208432,51.078845630682274,54.625265253962496,61.946525630772975,51.70688383421124,63.96259076333586,58.65310398932759,72.09995637357105,61.989534691316564,59.65212622850989,68.91335033042519,60.52864278268203,99.46882509451285,71.15069658635375,57.071362176505154,51.000127290633515,70.90303458484605,89.95973760732483,77.12298139644133,52.057192178181985,66.88016056163923,84.18551652118009,60.36717051791408,53.07914265967838,48.56471438610483,55.64643942774113,71.8826755131764,65.20580649972118,94.0839134513269,83.44610549495987,67.55945211988995,100.89913189032384,62.06943719440419,83.10458689887776,60.84977593391865,58.160010293274794,81.19865346279954
2019-06-17,128.68641804583746,57.61583319769886,58.668749703063696,77.96535244990912,92.96315374644009,85.74567172184797,51.59262031135246,80.77838496522453,52.65099853145858,90.54341406856045,81.34716332535058,169.28624449820413,54.848678520383984,94.3190467445584,60.48677350364853,56.9830194756275,77.51143710452169,56.601494291143595,56.5188923212134,64.13533540348527,54.21105000066743,63.4341035244752,61.8428972118547,67.16547884636489,59.36652208409961,56.24293718232241,74.40714999903891,64.61208655211182,61.83043725303572,68.51302167477846,59.301481790412645,49.46153500949306,72.79989803423528,89.91880599732785,72.60889626377131,56.24407783695692,60.347797266030724,83.81932250720043,61.94509424587796,47.2160669625805,46.12411316993173,53.926557858913014,66.27713994007868,65.01807662604038,90.19492693891848,90.86933292708875,61.63474270707207,194.45233296785244,61.415619222802725,82.03856114481566,69.32395432811467,53.345039712003114,90.57676595027709
2019-06-24,121.23262478480108,57.89550409872152,65.29290286345653,77.22456100643389,92.15382191924112,79.2757131337158,49.32480633015629,86.60621453323053,47.03299065882193,86.89484438757626,77.75059618977583,159.75556801499386,53.28665649674556,84.28282272984654,63.14000203577035,55.623285376222334,80.64959388082895,58.01107093936633,56.47230837778185,63.11483842338927,54.80060288606468,66.58554845127986,63.8557882477317,68.20272782803855,61.1479936681066,63.031399462578996,83.9067616528898,62.04872961064609,82.34459899946481,71.43925533323949,62.358088959673516,52.3889330660276,68.08729362978707,86.52901219067962,73.73564606882803,52.53683197088664,60.96167481617039,86.38419094057208,61.83900660888029,58.079167144783,58.690038169556225,56.42389221178444,86.87157125841584,71.0781988396834,96.35813532053558,86.35936761468719,62.236541286885405,102.86531949246705,67.07422926283236,82.84404634621139,59.46631595088679,57.3017647469024,81.89539522385927
2019-07-01,118.79789488676973,55.345179380390334,64.04268755828132,79.05435553409932,84.35309697941447,81.8043213923123,45.65973276879466,85.64379011585646,45.856666960047775,84.77856198777457,76.17163874949173,170.25579021016483,58.74056840575087,82.06407153593047,60.90917189546177,60.573618866116654,76.00317592083415,60.203335110718356,54.316077130797176,64.23786451934036,52.222894782787975,44.118173592379925,64.30012066065926,65.21131916380648,63.49449817762211,60.890601703615296,67.15994920624037,62.99381915993048,71.89334829087899,65.43578150767965,53.36025989792285,55.452522563606365,69.37731073172685,87.60064887578035,71.93327681783524,54.50172762467893,70.72541709111142,65.59534915505292,59.47227673895744,51.452725597496126,44.482761471666755,56.013005566699206,76.4618574509479,70.06525548544528,97.17562890413708,72.6683866294134,65.26557243527074,125.17556553949984,63.68160476837973,84.55011363747872,60.666426873452046,57.170155997179,85.43800237099451
2019-07-08,114.17956899290091,55.926962033221535,60.44214445559259,76.33183457708724,87.98205396962067,85.24583504467714,48.50476586730855,81.96270189544565,59.78894771551458,86.91081827262545,72.58513040224821,167.8531055559231,56.401870872739586,78.99965708187447,61.27290451387105,55.650691875963446,78.48631182567725,59.484256371502106,52.84151923991594,59.586465172574755,57.15724052130217,61.14063219268941,62.708764607606376,71.8693537237182,59.55135531142211,52.24482781201512,79.61998682955085,64.89132382276728,89.42394950456321,65.8127947294472,46.23305057103935,58.969117466166004,74.12464599176737,94.07973646807756,76.8483150159496,56.438099505884594,66.82036338796141,75.80751126825912,62.285923601664884,59.89974609028854,49.386861843658345,54.42289707198333,75.92989802420087,68.48885561688161,98.60014265528207,79.52993800346275,67.14502793021232,150.7270830474007,69.10092201431218,81.09618935728766,60.33986384781303,60.47735582232192,84.0340407548645
2019-07-15,133.14364663197352,56.12764258188216,52.78617923061522,74.27307129749764,86.28398832623931,78.15837374105205,49.01077590262429,79.49039968311224,48.53538168700664,86.50631904109927,74.45608246664094,163.78219764300042,59.94595053382902,85.8056366414774,63.005119662649165,52.33754589120863,80.68254508931417,54.66304935237681,56.76272113466242,65.6430089898529,53.65946062570076,57.00648140674607,63.180684828773984,68.16405144656545,64.00014986020341,60.313305010015284,70.97518007181617,58.893372036172245,72.9603042122451,71.07125091134854,53.03873284758616,54.018487887057994,66.51354211706698,95.05346232697681,75.76549961904236,54.217727093396924,65.2506552996517,78.5041049777456,60.140816174000484,45.688651723059806,49.993674434982644,56.676902310952386,81.06844207405507,68.27677213901336,93.11785459178901,82.79369418989813,66.25016189112812,30.915206741920066,49.79437896916752,84.0364336668859,59.6218998321456,67.86116206597183,86.81823850068886
2019-07-22,112.2811808615656,57.232048428818125,65.55135927537503,71.53507643474653,86.66051056191392,79.11962098187708,50.26942398435424,88.30561235127496,50.360434427990725,87.90633969811404,74.6831099517093,134.7360582066289,61.82068884105891,83.76753586458246,64.25195130542103,54.30105890541119,81.17899776585043,56.02342676547082,54.74122225612322,62.42959785141071,55.27988066724123,51.961169864561356,64.20908393647285,67.04227107257563,65.26997361965984,58.29990810496703,81.89789923692145,64.05984431581889,81.55840619822348,70.86195875689675,63.052488676052405,56.27650762334196,71.15027397230065,87.87583516055751,75.97371359469648,53.90161045425851,63.363996235862814,78.85188813988553,59.11288853028772,47.88508850737895,50.24046114318142,56.09664625954714,71.36869242011988,63.748798067821454,77.86809351036652,73.48419634484411,67.2500975738875,113.66366670764297,49.77473196073704,84.44280813818538,59.96428642449283,59.86390954726439,80.76203991352122
2019-07-29,132.7801117593477,53.36806141038159,58.941765163507775,64.85401035575771,90.867366561699,79.26104965124105,50.33635725418485,82.3426635369846,46.87798219325856,82.96737387377176,72.13721648291082,159.62542002582933,59.82618828633186,78.8488443866729,64.31507576496497,51.40192495631064,77.37696832047978,53.099175299396656,55.550205315122774,58.738487080579546,54.997763400476195,58.0452391816559,60.48850892585529,65.22387699495931,67.79393324205641,55.972731730443385,65.36832099826353,59.33852686003134,80.56109258346594,63.58575583703628,63.03525055299017,53.88946864347369,69.03256264613813,90.46451725521216,75.11949770643935,50.10670564200506,64.0027593439099,85.89035706231816,60.62654188727929,51.41711251030721,49.616644094325196,58.09875172240745,84.15331933095798,61.214553819256224,75.0663531237548,71.30707455241807,66.63605584291807,90.91626170332785,49.46421562567986,85.50677820892223,60.194852218988736,58.48191550264621,77.28940104587487
