,United States, New York City,WA,OR,ND,TN,HI,AL,UT,GA,MN,DE,KY,MD,NJ,DC,VT,PR,MO,WV,NH,SD,RI,PA,AR,IN,MI,CO,AZ,OK,NV,SC,WI,MT,LA,NY,FL,CA,IA,TX,NM,IL,OH,NE,MA,WY,ME,VI,ID,MS,CT,AK,KS,VA,NC
3/11/19,59.30566857,77.29199698,60.89492564,59.22600663,57.87355658,49.75946578,114.6253991,46.39720148,58.40124377,60.58788363,57.12105533,37.18500819,41.21274912,42.35939804,49.17232099,76.98167669,54.67568498,35.97398896,50.95256163,50.69063561,46.65768344,49.46945562,48.85313802,47.85266183,45.61582582,50.01869493,45.3957671,48.7968556,51.16258948,48.9132166,70.14592968,44.16285049,50.74845581,70.37283431,35.19838303,63.04909731,63.30462825,64.19095334,51.03896375,83.45926783,57.94282839,47.7738501,41.97254774,45.63931954,51.34203332,58.36117457,67.00740009,114.4002052,53.9091857,56.99647212,41.15566583,91.63447918,71.97955597,53.16640726,51.6351282
3/18/19,56.90489242,72.10913332,59.4421527,65.55894072,58.92197921,46.41596598,131.3634037,45.15244209,54.39580567,56.96395717,57.90781932,35.93569656,34.24253873,45.05458887,44.01891039,64.55897736,39.72619868,39.50212974,50.25733852,37.96075109,46.84017931,46.38872046,51.88745252,43.58868535,62.45531108,40.68937053,46.25100076,60.68453495,46.24503027,63.67383803,67.92244663,38.45787395,60.0319563,56.60678662,34.5524376,61.29924765,63.06842978,65.0446231,57.82284591,71.98135348,49.09418254,49.43921161,43.74368861,47.04909694,45.59800449,73.03614237,68.21917905,153.0983549,57.37681205,41.82014125,44.03468064,65.50280241,51.72930962,45.64092101,42.23456306
3/25/19,54.39601823,72.40446982,59.26310264,67.86316589,45.10468634,45.43146335,96.06832532,42.63052099,50.09776762,52.43026989,53.45721352,38.21784608,38.62510812,39.11658245,37.34890091,54.12574602,30.56995608,25.0668611,44.05536767,33.7461454,42.16692938,52.7771056,45.6061536,45.93898764,40.55336914,54.14308849,52.21407171,60.97433307,45.59946838,42.40086289,65.8830873,39.26088502,49.22313031,53.70918658,35.78561047,59.04794813,60.22307672,67.42418552,36.51525481,65.13004903,47.00607622,47.59567237,39.93489757,39.61215006,42.10947736,52.29371071,53.33480743,127.292322,50.48052377,38.57986255,36.55867424,89.25629408,53.22112019,46.66098976,38.98808153
4/1/19,53.79892914,67.28637274,59.05280257,60.00138836,51.46038228,42.96084333,104.7882468,38.85281299,52.45088126,57.59169252,51.14123509,38.95311782,42.2278877,36.45911794,36.40647171,61.25684627,41.61130775,34.77966524,38.23906946,31.73497168,40.52577385,53.08770739,42.75296642,43.14019897,41.39596368,42.79542424,53.17358737,56.71370092,46.51157493,39.61764868,69.04049252,37.53860623,43.29256542,47.8921801,34.54122826,56.25212009,61.60384178,69.32300268,39.2739883,64.61628734,44.20962326,41.35897169,34.36629886,38.91006251,47.82710998,65.57796664,44.90805664,142.3960927,47.00857139,40.22852778,40.72965282,90.76235609,52.79872887,48.46938091,39.4994695
4/8/19,53.75732012,69.16284133,66.8098432,59.59969849,43.18521566,46.52154405,118.3716397,36.21785491,48.88618819,53.41219604,48.31743276,37.58603237,32.88804998,37.71266393,41.20816135,56.56774405,56.54942604,46.19860832,44.14607218,40.09743039,46.1293975,44.153016,46.70352858,42.68301435,37.14462412,35.80023161,45.63951182,54.28157317,46.60264276,38.94713744,69.71494529,41.61738255,44.39841866,52.60047981,37.38498962,58.50720806,62.25792887,67.97858894,33.87559166,63.40887375,47.62043052,44.38401277,33.84437487,42.52593104,50.63908818,44.34096777,55.17346619,62.33955689,52.24076054,37.16808956,39.76971516,98.56759462,51.41783346,46.63642502,41.74720148
4/15/19,53.41434114,71.86359606,54.86656821,55.11901821,54.07173592,43.14076828,130.4916948,36.20907436,52.92206959,52.06217332,48.0906021,31.59874882,29.99621815,35.4245346,41.42567675,62.32051169,45.55220111,39.04057152,38.01252093,39.5792656,43.51117231,47.95781621,37.92310735,44.2906688,32.779012,31.44136685,41.90873181,54.26931679,43.22051179,39.04851855,69.44972304,40.74878979,44.18018259,51.56832563,43.3945322,60.25234992,60.02537069,64.95790285,36.22911391,67.5975762,50.17523701,45.35547459,33.91014883,39.54953107,47.37150328,54.70051011,42.55062284,140.146652,52.88906814,39.49100098,34.44887112,80.28069911,52.67811653,46.77495201,43.36014273
4/22/19,51.67896439,72.65386602,54.04813127,53.03796967,41.24362089,40.09017253,132.8128222,32.34371046,52.17315453,51.43974284,44.9924957,37.32512759,30.43529956,39.2473945,46.37982771,56.6883389,60.66155198,48.17781782,35.12007792,33.66743992,51.15464022,53.83646045,29.51726942,40.35175628,37.05400336,33.79780413,42.71418452,54.198456,45.32478478,37.8221275,65.39774895,34.46437517,47.79625901,44.17895143,41.58996574,62.04518767,61.95029869,62.23157732,34.54743477,62.55642587,42.57057566,43.08405816,34.53784075,40.56767175,41.02514427,52.48259642,44.13599042,165.3839708,46.34443342,39.05997785,33.73759227,109.0333546,52.39645655,42.69315854,39.28171436
4/29/19,51.97508684,68.82798516,59.95382426,53.23148696,43.49184977,45.27976117,134.2675666,41.34204533,55.59936821,50.39426111,51.71422282,33.70373319,28.9565118,35.87115508,39.55112276,55.57009682,51.91877023,26.88327616,39.04507682,36.87114229,37.80504875,57.67670591,30.60574429,42.36352661,37.11602748,33.97813386,42.68684523,55.05938236,47.92148704,34.1503433,73.07171414,36.27723398,42.66944697,52.30130115,37.80894528,58.81024939,63.30147199,62.28402167,33.84363888,61.10593339,41.52539265,42.32168447,34.5666764,40.54105948,44.98752306,47.22895893,51.75942371,86.82269393,50.0446235,39.00795384,34.52119017,110.6495111,55.05008455,43.77291493,38.97131889
5/6/19,54.62805355,73.36974568,60.9235294,57.07861415,45.79898838,45.68685008,132.6107003,39.86600334,65.08876806,58.05232952,47.95708299,42.47357085,34.45197231,39.18414533,39.51446704,61.76817262,44.47471367,40.59388437,42.1884392,40.25825323,45.1115228,60.12443044,37.13203661,45.13741549,45.40652054,35.93574424,43.63647856,59.25258063,54.57606877,40.20156994,69.69993276,36.39990965,39.53673342,54.07915061,37.33459383,60.46026904,64.36592045,66.99459948,38.57821142,63.59737608,47.7104434,44.41148679,36.272459,43.38570534,48.76370079,54.04252967,38.66697572,148.5284823,54.30547109,44.80353795,30.66401933,89.9583368,51.6333868,46.09866977,44.57584114
5/13/19,54.05959747,67.29611037,65.11581069,55.75029386,43.62570822,44.96366993,117.2497508,41.67982101,63.79365215,54.70486181,47.78852539,34.41786919,39.00866136,38.08979591,40.7876174,59.62919469,42.65750558,39.60767199,41.39391109,37.63162634,35.79871839,46.38395951,45.20089505,47.84369218,43.45195339,38.94336394,46.7833612,65.94740656,54.97568586,40.96362798,71.14595357,38.3022777,41.18399549,58.75150434,42.67602138,57.69421116,66.23410183,66.69835575,42.30442373,57.37983482,51.69705052,43.39152471,37.13315178,45.99702099,45.50384636,62.01231781,37.21771413,186.75987,51.9921956,41.63112173,36.75172716,105.6461397,52.91385138,50.306198,39.71460548
